# IGRF-14 Spherical Harmonic Coefficients
# Schmidt semi-normalised, units: nT (main field), nT/yr (SV)
# Converted from IGRF14coeffs.xlsx
#
 g/h   n   m     1900.0     1905.0     1910.0     1915.0     1920.0     1925.0     1930.0     1935.0     1940.0     1945.0     1950.0     1955.0     1960.0     1965.0     1970.0     1975.0     1980.0     1985.0     1990.0     1995.0     2000.0     2005.0     2010.0     2015.0     2020.0     2025.0  2025-2030
   g   1   0  -31543.00  -31464.00  -31354.00  -31212.00  -31060.00  -30926.00  -30805.00  -30715.00  -30654.00  -30594.00  -30554.00  -30500.00  -30421.00  -30334.00  -30220.00  -30100.00  -29992.00  -29873.00  -29775.00  -29692.00  -29619.40  -29554.63  -29496.57  -29441.46  -29403.41  -29350.00      12.60
   g   1   1   -2298.00   -2298.00   -2297.00   -2306.00   -2317.00   -2318.00   -2316.00   -2306.00   -2292.00   -2285.00   -2250.00   -2215.00   -2169.00   -2119.00   -2068.00   -2013.00   -1956.00   -1905.00   -1848.00   -1784.00   -1728.20   -1669.05   -1586.42   -1501.77   -1451.37   -1410.30      10.00
   h   1   1    5922.00    5909.00    5898.00    5875.00    5845.00    5817.00    5808.00    5812.00    5821.00    5810.00    5815.00    5820.00    5791.00    5776.00    5737.00    5675.00    5604.00    5500.00    5406.00    5306.00    5186.10    5077.99    4944.26    4795.99    4653.35    4545.50     -21.50
   g   2   0    -677.00    -728.00    -769.00    -802.00    -839.00    -893.00    -951.00   -1018.00   -1106.00   -1244.00   -1341.00   -1440.00   -1555.00   -1662.00   -1781.00   -1902.00   -1997.00   -2072.00   -2131.00   -2200.00   -2267.70   -2337.24   -2396.06   -2445.88   -2499.78   -2556.20     -11.20
   g   2   1    2905.00    2928.00    2948.00    2956.00    2959.00    2969.00    2980.00    2984.00    2981.00    2990.00    2998.00    3003.00    3002.00    2997.00    3000.00    3010.00    3027.00    3044.00    3059.00    3070.00    3068.40    3047.69    3026.34    3012.20    2981.96    2950.90      -5.30
   h   2   1   -1061.00   -1086.00   -1128.00   -1191.00   -1259.00   -1334.00   -1424.00   -1520.00   -1614.00   -1702.00   -1810.00   -1898.00   -1967.00   -2016.00   -2047.00   -2067.00   -2129.00   -2197.00   -2279.00   -2366.00   -2481.60   -2594.50   -2708.54   -2845.41   -2991.72   -3133.60     -27.30
   g   2   2     924.00    1041.00    1176.00    1309.00    1407.00    1471.00    1517.00    1550.00    1566.00    1578.00    1576.00    1581.00    1590.00    1594.00    1611.00    1632.00    1663.00    1687.00    1686.00    1681.00    1670.90    1657.76    1668.17    1676.35    1676.85    1648.70      -8.30
   h   2   2    1121.00    1065.00    1000.00     917.00     823.00     728.00     644.00     586.00     528.00     477.00     381.00     291.00     206.00     114.00      25.00     -68.00    -200.00    -306.00    -373.00    -413.00    -458.00    -515.43    -575.73    -642.17    -734.62    -814.20     -11.10
   g   3   0    1022.00    1037.00    1058.00    1084.00    1111.00    1140.00    1172.00    1206.00    1240.00    1282.00    1297.00    1302.00    1302.00    1297.00    1287.00    1276.00    1281.00    1296.00    1314.00    1335.00    1339.60    1336.30    1339.85    1350.33    1363.00    1360.90      -1.50
   g   3   1   -1469.00   -1494.00   -1524.00   -1559.00   -1600.00   -1645.00   -1692.00   -1740.00   -1790.00   -1834.00   -1889.00   -1944.00   -1992.00   -2038.00   -2091.00   -2144.00   -2180.00   -2208.00   -2239.00   -2267.00   -2288.00   -2305.83   -2326.54   -2352.26   -2380.80   -2404.20      -4.40
   h   3   1    -330.00    -357.00    -389.00    -421.00    -445.00    -462.00    -480.00    -494.00    -499.00    -499.00    -476.00    -462.00    -414.00    -404.00    -366.00    -333.00    -336.00    -310.00    -284.00    -262.00    -227.60    -198.86    -160.40    -115.29     -81.96     -56.90       3.80
   g   3   2    1256.00    1239.00    1223.00    1212.00    1205.00    1202.00    1205.00    1215.00    1232.00    1255.00    1274.00    1288.00    1289.00    1292.00    1278.00    1260.00    1251.00    1247.00    1248.00    1249.00    1252.10    1246.39    1232.10    1225.85    1236.06    1243.80       0.40
   h   3   2       3.00      34.00      62.00      84.00     103.00     119.00     133.00     146.00     163.00     186.00     206.00     216.00     224.00     240.00     251.00     262.00     271.00     284.00     293.00     302.00     293.40     269.72     251.75     245.04     241.80     237.60      -0.20
   g   3   3     572.00     635.00     705.00     778.00     839.00     881.00     907.00     918.00     916.00     913.00     896.00     882.00     878.00     856.00     838.00     830.00     833.00     829.00     802.00     759.00     714.50     672.51     633.73     581.69     525.60     453.40     -15.60
   h   3   3     523.00     480.00     425.00     360.00     293.00     229.00     166.00     101.00      43.00     -11.00     -46.00     -83.00    -130.00    -165.00    -196.00    -223.00    -252.00    -297.00    -352.00    -427.00    -491.10    -524.72    -537.03    -538.70    -542.52    -549.60      -3.90
   g   4   0     876.00     880.00     884.00     887.00     889.00     891.00     896.00     903.00     914.00     944.00     954.00     958.00     957.00     957.00     952.00     946.00     938.00     936.00     939.00     940.00     932.30     920.55     912.66     907.42     902.82     894.70      -1.70
   g   4   1     628.00     643.00     660.00     678.00     695.00     711.00     727.00     744.00     762.00     776.00     792.00     796.00     800.00     804.00     800.00     791.00     782.00     780.00     780.00     780.00     786.80     797.96     808.97     813.68     809.47     799.60      -2.30
   h   4   1     195.00     203.00     211.00     218.00     220.00     216.00     205.00     188.00     169.00     144.00     136.00     133.00     135.00     148.00     167.00     191.00     212.00     232.00     247.00     262.00     272.60     282.07     286.48     283.54     282.10     278.60      -1.30
   g   4   2     660.00     653.00     644.00     631.00     616.00     601.00     584.00     565.00     550.00     544.00     528.00     510.00     504.00     479.00     461.00     438.00     398.00     361.00     325.00     290.00     250.00     210.65     166.58     120.49      86.18      55.80      -5.80
   h   4   2     -69.00     -77.00     -90.00    -109.00    -134.00    -163.00    -195.00    -226.00    -252.00    -276.00    -278.00    -274.00    -278.00    -269.00    -266.00    -265.00    -257.00    -249.00    -240.00    -236.00    -231.90    -225.23    -211.03    -188.43    -158.50    -134.00       4.10
   g   4   3    -361.00    -380.00    -400.00    -416.00    -424.00    -426.00    -422.00    -415.00    -405.00    -421.00    -408.00    -397.00    -394.00    -390.00    -395.00    -405.00    -419.00    -424.00    -423.00    -418.00    -403.00    -379.86    -356.83    -334.85    -309.47    -281.10       5.40
   h   4   3    -210.00    -201.00    -189.00    -173.00    -153.00    -130.00    -109.00     -90.00     -72.00     -55.00     -37.00     -23.00       3.00      13.00      26.00      39.00      53.00      69.00      84.00      97.00     119.80     145.15     164.46     180.95     199.75     212.00       1.60
   g   4   4     134.00     146.00     160.00     178.00     199.00     217.00     234.00     249.00     265.00     304.00     303.00     290.00     269.00     252.00     234.00     216.00     199.00     170.00     141.00     122.00     111.30     100.00      89.40      70.38      47.44      12.00      -6.80
   h   4   4     -75.00     -65.00     -55.00     -51.00     -57.00     -70.00     -90.00    -114.00    -141.00    -178.00    -210.00    -230.00    -255.00    -269.00    -279.00    -288.00    -297.00    -297.00    -299.00    -306.00    -303.80    -305.36    -309.72    -329.23    -350.30    -375.40      -4.10
   g   5   0    -184.00    -192.00    -201.00    -211.00    -221.00    -230.00    -237.00    -241.00    -241.00    -253.00    -240.00    -229.00    -222.00    -219.00    -216.00    -218.00    -218.00    -214.00    -214.00    -214.00    -218.80    -227.00    -230.87    -232.91    -234.42    -232.90       0.60
   g   5   1     328.00     328.00     327.00     327.00     326.00     326.00     327.00     329.00     334.00     346.00     349.00     360.00     362.00     358.00     359.00     356.00     357.00     355.00     353.00     352.00     351.40     354.41     357.29     360.14     363.26     369.00       1.30
   h   5   1    -210.00    -193.00    -172.00    -148.00    -122.00     -96.00     -72.00     -51.00     -33.00     -12.00       3.00      15.00      16.00      19.00      26.00      31.00      46.00      47.00      46.00      46.00      43.80      42.72      44.58      46.98      47.52      45.30      -0.50
   g   5   2     264.00     259.00     253.00     245.00     236.00     226.00     218.00     211.00     208.00     194.00     211.00     230.00     242.00     254.00     262.00     264.00     261.00     253.00     245.00     235.00     222.30     208.95     200.26     192.35     187.86     187.20       0.00
